Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-28,4.84,4.84,4.84,4.84,4.834862385321101,109,1,527.0,109,100.0,0.0,0.0,1619568000.0
2021-04-27,4.84,4.84,4.84,4.84,4.838775510204082,490,1,2371.0,490,100.0,0.0,0.0,1619481600.0
2021-04-16,4.84,4.84,4.84,4.84,4.8,20,1,96.0,20,100.0,0.0,0.0,1618531200.0
2021-04-15,4.84,4.84,4.84,4.84,4.838709677419354,31,2,150.0,31,100.0,0.0,0.0,1618444800.0
2021-04-12,4.84,4.84,4.84,4.84,4.8,20,1,96.0,20,100.0,0.0,0.0,1618185600.0
2021-04-07,4.84,4.84,4.84,4.84,4.829268292682928,41,2,198.0,41,100.0,0.0,0.0,1617753600.0
2021-04-06,4.84,4.84,4.84,4.84,4.8,20,1,96.0,20,100.0,0.0,0.0,1617667200.0
2021-03-31,4.84,4.84,4.84,4.84,4.84,50,1,242.0,50,100.0,0.0,0.0,1617148800.0
2021-03-26,4.84,4.84,4.84,4.84,4.84,150,1,726.0,150,100.0,0.0,0.0,1616716800.0
2021-03-24,4.84,4.84,4.84,4.84,4.838235294117648,204,1,987.0,204,100.0,0.0,0.0,1616544000.0
2021-03-22,4.93,4.93,4.93,4.93,4.924528301886792,53,2,261.0,53,100.0,0.0,0.0,1616371200.0
2021-03-19,4.84,4.93,4.84,4.93,4.88,100,2,488.0,100,100.0,0.09,0.09,1616112000.0
2021-03-12,4.84,4.84,4.84,4.84,4.837681159420289,345,4,1669.0,345,100.0,0.0,0.0,1615507200.0
2021-03-10,4.93,4.93,4.93,4.93,4.904761904761905,21,1,103.0,21,100.0,0.0,0.0,1615334400.0
2021-03-09,5.03,5.03,5.03,5.03,5.018181818181818,55,2,276.0,55,100.0,0.0,0.0,1615248000.0
2021-03-08,5.03,5.03,5.03,5.03,5.027624309392265,181,1,910.0,181,100.0,0.0,0.0,1615161600.0
2021-03-04,5.13,5.13,5.03,5.03,5.023255813953488,86,3,432.0,86,100.0,0.1,-0.1,1614816000.0
2021-03-03,5.13,5.13,5.13,5.13,5.129084967320261,612,5,3139.0,612,100.0,0.0,0.0,1614729600.0
2021-03-02,5.03,5.03,5.03,5.03,5.028497409326425,386,3,1941.0,386,100.0,0.0,0.0,1614643200.0
2021-03-01,4.94,4.94,4.94,4.94,4.833333333333333,6,1,29.0,6,100.0,0.0,0.0,1614556800.0
2021-02-26,4.94,4.94,4.94,4.94,4.94,100,1,494.0,100,100.0,0.0,0.0,1614297600.0
2021-02-25,4.94,4.94,4.94,4.94,4.935897435897436,78,1,385.0,78,100.0,0.0,0.0,1614211200.0
2021-02-24,5.07,5.07,5.04,5.04,5.055963302752294,1090,4,5511.0,1090,100.0,0.03,-0.03,1614124800.0
2021-02-23,5.07,5.07,5.07,5.07,5.066666666666666,135,3,684.0,135,100.0,0.0,0.0,1614038400.0
